entidad,estrato_socioeconomico,tono_de_color_de_piel,cuenta,nom_entidad,abr_estado,estrato_socioeconomico_nom,estratos
17,1,2,2,Morelos,Mor.,Bajo,1) Bajo
21,1,11,1,Puebla,Pue.,Bajo,1) Bajo
22,1,8,60,Querétaro,Qro.,Bajo,1) Bajo
22,1,7,35,Querétaro,Qro.,Bajo,1) Bajo
22,1,6,20,Querétaro,Qro.,Bajo,1) Bajo
22,1,4,5,Querétaro,Qro.,Bajo,1) Bajo
22,1,9,5,Querétaro,Qro.,Bajo,1) Bajo
22,1,10,5,Querétaro,Qro.,Bajo,1) Bajo
22,1,2,2,Querétaro,Qro.,Bajo,1) Bajo
22,1,3,2,Querétaro,Qro.,Bajo,1) Bajo
22,1,11,1,Querétaro,Qro.,Bajo,1) Bajo
23,1,7,38,Quintana Roo,Q. Roo,Bajo,1) Bajo
23,1,6,18,Quintana Roo,Q. Roo,Bajo,1) Bajo
23,1,4,17,Quintana Roo,Q. Roo,Bajo,1) Bajo
23,1,8,16,Quintana Roo,Q. Roo,Bajo,1) Bajo
23,1,5,8,Quintana Roo,Q. Roo,Bajo,1) Bajo
23,1,9,6,Quintana Roo,Q. Roo,Bajo,1) Bajo
23,1,3,3,Quintana Roo,Q. Roo,Bajo,1) Bajo
21,1,1,2,Puebla,Pue.,Bajo,1) Bajo
21,1,2,3,Puebla,Pue.,Bajo,1) Bajo
21,1,3,4,Puebla,Pue.,Bajo,1) Bajo
21,1,9,6,Puebla,Pue.,Bajo,1) Bajo
20,1,11,3,Oaxaca,Oax.,Bajo,1) Bajo
20,1,1,1,Oaxaca,Oax.,Bajo,1) Bajo
10,1,4,1,Durango,Dgo.,Bajo,1) Bajo
10,1,2,1,Durango,Dgo.,Bajo,1) Bajo
10,1,1,1,Durango,Dgo.,Bajo,1) Bajo
10,1,5,2,Durango,Dgo.,Bajo,1) Bajo
10,1,11,5,Durango,Dgo.,Bajo,1) Bajo
10,1,9,9,Durango,Dgo.,Bajo,1) Bajo
23,1,2,1,Quintana Roo,Q. Roo,Bajo,1) Bajo
10,1,10,12,Durango,Dgo.,Bajo,1) Bajo
10,1,7,20,Durango,Dgo.,Bajo,1) Bajo
10,1,8,29,Durango,Dgo.,Bajo,1) Bajo
21,1,7,94,Puebla,Pue.,Bajo,1) Bajo
21,1,8,68,Puebla,Pue.,Bajo,1) Bajo
21,1,6,46,Puebla,Pue.,Bajo,1) Bajo
21,1,4,14,Puebla,Pue.,Bajo,1) Bajo
21,1,5,10,Puebla,Pue.,Bajo,1) Bajo
21,1,10,10,Puebla,Pue.,Bajo,1) Bajo
10,1,6,14,Durango,Dgo.,Bajo,1) Bajo
23,1,10,1,Quintana Roo,Q. Roo,Bajo,1) Bajo
8,1,1,1,Chihuahua,Chih.,Bajo,1) Bajo
8,1,2,2,Chihuahua,Chih.,Bajo,1) Bajo
7,1,11,15,Chiapas,Chis.,Bajo,1) Bajo
7,1,4,16,Chiapas,Chis.,Bajo,1) Bajo
7,1,5,24,Chiapas,Chis.,Bajo,1) Bajo
7,1,9,25,Chiapas,Chis.,Bajo,1) Bajo
7,1,6,77,Chiapas,Chis.,Bajo,1) Bajo
7,1,8,140,Chiapas,Chis.,Bajo,1) Bajo
7,1,7,151,Chiapas,Chis.,Bajo,1) Bajo
25,1,7,35,Sinaloa,Sin.,Bajo,1) Bajo
7,1,10,14,Chiapas,Chis.,Bajo,1) Bajo
25,1,8,23,Sinaloa,Sin.,Bajo,1) Bajo
25,1,9,12,Sinaloa,Sin.,Bajo,1) Bajo
25,1,4,5,Sinaloa,Sin.,Bajo,1) Bajo
25,1,11,3,Sinaloa,Sin.,Bajo,1) Bajo
25,1,10,2,Sinaloa,Sin.,Bajo,1) Bajo
25,1,2,1,Sinaloa,Sin.,Bajo,1) Bajo
25,1,3,1,Sinaloa,Sin.,Bajo,1) Bajo
25,1,5,1,Sinaloa,Sin.,Bajo,1) Bajo
26,1,7,27,Sonora,Son.,Bajo,1) Bajo
25,1,6,18,Sinaloa,Sin.,Bajo,1) Bajo
20,1,2,8,Oaxaca,Oax.,Bajo,1) Bajo
7,1,3,5,Chiapas,Chis.,Bajo,1) Bajo
7,1,2,1,Chiapas,Chis.,Bajo,1) Bajo
8,1,11,3,Chihuahua,Chih.,Bajo,1) Bajo
8,1,10,3,Chihuahua,Chih.,Bajo,1) Bajo
8,1,9,3,Chihuahua,Chih.,Bajo,1) Bajo
8,1,6,8,Chihuahua,Chih.,Bajo,1) Bajo
8,1,7,13,Chihuahua,Chih.,Bajo,1) Bajo
8,1,8,15,Chihuahua,Chih.,Bajo,1) Bajo
15,1,8,16,México,Mex.,Bajo,1) Bajo
24,1,7,77,San Luis Potosí,SLP,Bajo,1) Bajo
7,1,1,3,Chiapas,Chis.,Bajo,1) Bajo
24,1,6,61,San Luis Potosí,SLP,Bajo,1) Bajo
