artista,pos,cuenta,share
Ana Tijoux,sustantivo,638,0.3100097181729835
Ana Tijoux,verbo,453,0.22011661807580174
Ana Tijoux,nombre propio,337,0.16375121477162294
Ana Tijoux,adjetivo,174,0.08454810495626822
Ana Tijoux,pronombre,86,0.04178814382896016
Ana Tijoux,determinador,83,0.04033041788143829
Ana Tijoux,adverbio,72,0.03498542274052478
Ana Tijoux,adposición,59,0.028668610301263362
Ana Tijoux,conj. subordinada,53,0.02575315840621963
Ana Tijoux,auxiliar,46,0.022351797862001945
Ana Tijoux,puntuación,24,0.011661807580174927
Ana Tijoux,conjunción,15,0.007288629737609329
Ana Tijoux,numeral,15,0.007288629737609329
Ana Tijoux,interjección,3,0.0014577259475218659
Lil Supa,sustantivo,575,0.3063399041022909
Lil Supa,nombre propio,466,0.2482685135855088
Lil Supa,verbo,330,0.17581246670218434
Lil Supa,adjetivo,228,0.12147043153969099
Lil Supa,adverbio,60,0.031965903036760786
Lil Supa,puntuación,38,0.020245071923281833
Lil Supa,auxiliar,38,0.020245071923281833
Lil Supa,determinador,36,0.019179541822056473
Lil Supa,pronombre,35,0.018646776771443795
Lil Supa,adposición,25,0.013319126265316995
Lil Supa,conj. subordinada,18,0.009589770911028236
Lil Supa,numeral,17,0.009057005860415556
Lil Supa,conjunción,6,0.0031965903036760787
Lil Supa,interjección,3,0.0015982951518380393
Lil Supa,espacio,2,0.0010655301012253596
Vico C,sustantivo,1656,0.3688195991091314
Vico C,verbo,1301,0.28975501113585744
Vico C,nombre propio,498,0.110913140311804
Vico C,adjetivo,318,0.07082405345211581
Vico C,auxiliar,137,0.030512249443207125
Vico C,conj. subordinada,126,0.028062360801781736
Vico C,determinador,117,0.02605790645879733
Vico C,adposición,105,0.02338530066815145
Vico C,pronombre,85,0.01893095768374165
Vico C,adverbio,71,0.01581291759465479
Vico C,conjunción,41,0.00913140311804009
Vico C,numeral,20,0.004454342984409799
Vico C,puntuación,9,0.0020044543429844097
Vico C,interjección,3,0.0006681514476614699
Vico C,espacio,3,0.0006681514476614699
Akapellah,sustantivo,1171,0.33182204590535563
Akapellah,verbo,755,0.21394162652309437
Akapellah,nombre propio,563,0.15953527911589685
Akapellah,adjetivo,387,0.10966279399263247
Akapellah,adverbio,142,0.04023802776990649
Akapellah,conj. subordinada,92,0.02606970813261547
Akapellah,auxiliar,86,0.02436950977614055
Akapellah,adposición,83,0.02351941059790309
Akapellah,pronombre,82,0.023236044205157267
Akapellah,determinador,73,0.020685746670444885
Akapellah,numeral,32,0.009067724567866252
Akapellah,conjunción,30,0.00850099178237461
Akapellah,puntuación,12,0.003400396712949844
Akapellah,espacio,11,0.0031170303202040237
Akapellah,interjección,8,0.002266931141966563
Akapellah,símbolo,1,0.00028336639274582036
Akapellah,partícula,1,0.00028336639274582036
Tego Calderón,sustantivo,2836,0.28405448717948717
Tego Calderón,nombre propio,2176,0.21794871794871795
Tego Calderón,verbo,2017,0.20202323717948717
Tego Calderón,adjetivo,831,0.08323317307692307
Tego Calderón,conj. subordinada,353,0.03535657051282051
Tego Calderón,pronombre,343,0.03435496794871795
Tego Calderón,adposición,306,0.03064903846153846
Tego Calderón,determinador,305,0.030548878205128204
Tego Calderón,adverbio,304,0.030448717948717948
Tego Calderón,puntuación,168,0.016826923076923076
Tego Calderón,auxiliar,164,0.016426282051282052
Tego Calderón,conjunción,78,0.0078125
Tego Calderón,interjección,74,0.007411858974358974
Tego Calderón,numeral,29,0.002904647435897436
Canserbero,sustantivo,1077,0.3278538812785388
Canserbero,verbo,749,0.2280060882800609
Canserbero,nombre propio,476,0.14490106544901066
Canserbero,adjetivo,331,0.10076103500761036
Canserbero,adverbio,115,0.0350076103500761
Canserbero,auxiliar,109,0.033181126331811264
Canserbero,determinador,99,0.030136986301369864
Canserbero,conj. subordinada,97,0.029528158295281583
Canserbero,pronombre,78,0.023744292237442923
Canserbero,adposición,73,0.022222222222222223
Canserbero,conjunción,28,0.00852359208523592
Canserbero,puntuación,25,0.0076103500761035
Canserbero,numeral,16,0.004870624048706241
Canserbero,interjección,12,0.0036529680365296802
Residente,sustantivo,1202,0.36579427875836884
Residente,verbo,612,0.1862446743761412
Residente,nombre propio,603,0.18350578210590385
Residente,adjetivo,261,0.07942787583688375
Residente,adverbio,114,0.03469263542300669
Residente,pronombre,112,0.03408399269628728
Residente,determinador,103,0.03134510042604991
Residente,adposición,84,0.02556299452221546
Residente,auxiliar,67,0.020389531345100426
Residente,conj. subordinada,60,0.018259281801582473
Residente,numeral,33,0.01004260499087036
Residente,conjunción,19,0.005782105903834449
Residente,interjección,14,0.00426049908703591
Residente,puntuación,2,0.0006086427267194157
