Date,Year,Type,Region,SeasonallyAdjusted_AveragePrice,AveragePrice,Total Volume,Small Hass,Large Hass,XL Hass,Small Bags,Large Bags,XLarge Bags,Total Bags
2015-12-27,2015,conventional,California,0.9,0.9,5040365.47,1833946.59,1760956.02,232755.85,1090140.07,110737.35,11829.59,1212707.01
2015-12-20,2015,conventional,California,0.94,0.94,4695737.21,1676601.43,1543280.76,266689.82,1061703.58,136747.1,10714.52,1209165.2
2015-12-13,2015,conventional,California,0.87,0.87,5259354.3,1806690.08,1627240.76,232985.13,1404012.0,180150.37,8275.96,1592438.33
2015-12-06,2015,conventional,California,0.78,0.78,5775536.27,1943065.5,2100246.17,221957.26,1376640.91,126664.37,6962.06,1510267.34
2015-12-27,2015,organic,California,1.46,1.45,98576.63,14306.68,50893.97,0.0,29507.45,3868.53,0.0,33375.98
2015-12-20,2015,organic,California,1.36,1.35,99793.55,12746.47,48195.95,1.52,25535.8,13313.81,0.0,38849.61
2015-12-13,2015,organic,California,1.4,1.39,98605.4,13609.24,46518.56,3.05,24359.79,14114.76,0.0,38474.55
2015-12-06,2015,organic,California,1.49,1.48,91211.53,17839.96,47527.65,1.53,25661.06,181.33,0.0,25842.39
2015-11-29,2015,conventional,California,0.91,0.91,4575710.62,1461699.38,1810202.7,222311.07,991568.84,82338.39,7590.24,1081497.47
2015-11-22,2015,conventional,California,0.92,0.92,4804278.16,1602215.57,1917124.52,215632.16,979612.52,82444.32,7249.07,1069305.91
2015-11-15,2015,conventional,California,0.83,0.83,5755190.69,2243013.44,2164098.99,195159.32,1091768.68,53797.92,7352.34,1152918.94
2015-11-08,2015,conventional,California,0.98,0.98,5148983.51,2317858.81,1758964.54,216523.58,813006.4,36305.96,6324.22,855636.58
2015-11-01,2015,conventional,California,0.95,0.95,5830427.96,2369824.75,2596785.28,211901.97,626993.54,19804.69,5117.73,651915.96
2015-11-29,2015,organic,California,1.76,1.75,83415.54,13195.19,48229.29,0.0,21671.7,319.36,0.0,21991.06
2015-11-22,2015,organic,California,1.61,1.6,89062.36,14803.41,51282.8,0.0,22516.44,459.71,0.0,22976.15
2015-11-15,2015,organic,California,1.6,1.59,97265.23,16244.94,59089.47,0.0,21274.01,656.81,0.0,21930.82
2015-11-08,2015,organic,California,1.67,1.66,101320.15,17074.6,62469.04,0.0,20005.46,1771.05,0.0,21776.51
2015-11-01,2015,organic,California,1.61,1.6,104331.19,20050.21,63408.14,0.0,20158.5,714.34,0.0,20872.84
2015-10-25,2015,conventional,California,1.13,1.12,4592461.81,1733791.31,2025016.15,215622.63,606392.86,7596.27,4042.59,618031.72
2015-10-18,2015,conventional,California,1.08,1.07,4999031.79,1847991.31,2286235.79,217814.17,633893.61,10780.32,2316.59,646990.52
2015-10-11,2015,conventional,California,1.09,1.08,5063309.38,1757211.58,2530023.18,221032.74,533478.03,18373.18,3190.67,555041.88
2015-10-04,2015,conventional,California,1.03,1.02,4943781.29,1461112.39,2788317.94,222260.58,442923.78,25572.26,3594.34,472090.38
2015-10-25,2015,organic,California,1.65,1.64,103918.03,20902.94,66867.39,0.0,15174.85,972.85,0.0,16147.7
2015-10-18,2015,organic,California,2.03,2.01,73799.28,15960.2,48820.15,3.09,7988.73,1027.11,0.0,9015.84
2015-10-11,2015,organic,California,2.09,2.07,70004.38,14400.49,48933.21,3.1,6607.58,60.0,0.0,6667.58
2015-10-04,2015,organic,California,2.02,2.0,81751.48,18414.61,57015.39,0.0,6281.48,40.0,0.0,6321.48
2015-09-27,2015,conventional,California,1.04,1.04,5216784.63,1860050.39,2635028.38,206460.07,496867.66,13336.34,5041.79,515245.79
2015-09-20,2015,conventional,California,1.14,1.14,4759791.13,1702965.49,2230693.51,273922.36,529779.37,17303.91,5126.49,552209.77
2015-09-13,2015,conventional,California,1.13,1.13,5106508.12,1863270.81,2388023.33,270794.34,502056.88,76297.56,6065.2,584419.64
2015-09-06,2015,conventional,California,1.09,1.09,5806392.78,2859325.91,2077193.6,240185.0,591629.83,33545.37,4513.07,629688.27
2015-09-27,2015,organic,California,1.84,1.85,80734.58,20639.23,50992.3,0.0,9093.05,10.0,0.0,9103.05
2015-09-20,2015,organic,California,1.91,1.92,94267.54,28489.91,60941.41,0.0,4802.89,33.33,0.0,4836.22
2015-09-13,2015,organic,California,1.96,1.97,95230.68,34760.74,54821.89,0.0,5608.05,40.0,0.0,5648.05
2015-09-06,2015,organic,California,1.98,1.99,88963.61,23875.92,56393.97,0.0,8693.72,0.0,0.0,8693.72
2015-08-30,2015,conventional,California,1.07,1.08,5647385.15,3104607.82,1660274.32,233027.36,640600.64,5989.25,2885.76,649475.65
2015-08-23,2015,conventional,California,1.17,1.18,5193221.0,2626977.95,1798911.33,222082.91,535183.95,6573.5,3491.36,545248.81
2015-08-16,2015,conventional,California,1.1,1.11,5616434.08,3098708.55,1731349.0,208724.73,572197.46,2081.96,3372.38,577651.8
2015-08-09,2015,conventional,California,1.09,1.1,6232081.27,3260775.73,2196704.97,193831.6,570728.54,7356.84,2683.59,580768.97
2015-08-02,2015,conventional,California,1.15,1.16,5428238.87,2940145.82,1737845.94,183471.03,559587.76,4953.57,2234.75,566776.08
2015-08-30,2015,organic,California,1.96,1.98,90125.42,23449.1,55879.18,0.0,10797.14,0.0,0.0,10797.14
2015-08-23,2015,organic,California,1.83,1.85,107431.24,30454.79,63850.97,3.11,13122.37,0.0,0.0,13122.37
2015-08-16,2015,organic,California,1.94,1.96,90240.43,24630.76,52035.43,0.0,13574.24,0.0,0.0,13574.24
