Date,Year,Type,Region,SeasonallyAdjusted_AveragePrice,AveragePrice,Total Volume,Small Hass,Large Hass,XL Hass,Small Bags,Large Bags,XLarge Bags,Total Bags
2015-12-27,2015,conventional,Albany,1.34,1.33,64236.62,1036.74,54454.85,48.16,8603.62,93.25,0.0,8696.87
2015-12-20,2015,conventional,Albany,1.36,1.35,54876.98,674.28,44638.81,58.33,9408.07,97.49,0.0,9505.56
2015-12-13,2015,conventional,Albany,0.93,0.93,118220.22,794.7,109149.67,130.5,8042.21,103.14,0.0,8145.35
2015-12-06,2015,conventional,Albany,1.08,1.08,78992.15,1132.0,71976.41,72.58,5677.4,133.76,0.0,5811.16
2015-12-27,2015,conventional,Atlanta,0.99,0.99,386100.49,292097.36,27350.92,297.9,48605.95,17748.36,0.0,66354.31
2015-12-20,2015,conventional,Atlanta,1.08,1.08,331377.53,251774.15,20702.45,103.06,46930.26,11867.61,0.0,58797.87
2015-12-13,2015,conventional,Atlanta,0.96,0.96,417772.47,324932.28,31019.08,275.8,38903.57,22628.21,13.53,61545.31
2015-12-06,2015,conventional,Atlanta,1.07,1.07,357636.82,283024.01,23740.85,181.92,37032.67,13654.66,2.71,50690.04
2015-12-27,2015,conventional,BaltimoreWashington,1.18,1.17,596819.4,40450.49,394104.02,17353.79,142543.88,2367.22,0.0,144911.1
2015-12-20,2015,conventional,BaltimoreWashington,1.11,1.11,642682.4,44741.37,434590.82,19112.14,141751.91,2486.16,0.0,144238.07
2015-12-13,2015,conventional,BaltimoreWashington,1.16,1.15,619509.33,44400.26,399851.59,24291.2,149070.4,1895.88,0.0,150966.28
2015-12-06,2015,conventional,BaltimoreWashington,1.04,1.04,649141.25,51129.29,453586.5,25760.49,117112.77,1552.2,0.0,118664.97
2015-12-27,2015,conventional,Boise,0.97,0.97,62909.69,30482.25,2971.94,5894.4,23520.19,5.69,35.22,23561.1
2015-12-20,2015,conventional,Boise,1.03,1.03,57504.05,25628.22,2546.09,7393.84,21900.35,11.43,24.12,21935.9
2015-12-13,2015,conventional,Boise,0.99,0.99,58461.05,27148.61,2985.73,6458.44,21842.87,4.44,20.96,21868.27
2015-12-06,2015,conventional,Boise,0.71,0.71,95295.34,35590.98,12526.5,4086.26,42734.53,0.0,357.07,43091.6
