countyfips,No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree","Associate's degree, type not specified",Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctoral degree
0,"2,432.00",0,0,34,218,"1,517.00",193,272,"6,776.00",104,"2,783.00","3,764.00","4,505.00","3,717.00","3,837.00","45,842.00","6,139.00","11,214.00","35,140.00","16,434.00","26,705.00","5,550.00","1,088.00",234
1,"3,124.00",0,57,0,0,0,565,219,"2,462.00",214,"1,002.00","2,305.00",693,"3,364.00","5,373.00","37,447.00","3,968.00","12,313.00","38,387.00","13,681.00","100,160.00","39,661.00","6,444.00","6,436.00"
7,201,0,0,0,0,0,0,0,0,0,47,209,262,418,550,"5,240.00","1,009.00","2,841.00","8,947.00","2,889.00","5,289.00",795,579,0
13,"1,669.00",0,0,0,152,0,0,0,982,649,711,"1,935.00","1,733.00","1,119.00","4,385.00","18,731.00","3,930.00","10,545.00","28,716.00","16,107.00","36,899.00","11,680.00","2,341.00","1,207.00"
17,0,0,0,0,0,0,0,0,0,70,0,120,0,"1,840.00",425,"3,550.00",104,972,"2,845.00","2,575.00","5,796.00","1,043.00",170,560
19,"1,341.00",0,0,0,290,343,226,481,"3,864.00",176,"1,871.00","3,033.00","3,200.00","5,350.00","5,336.00","28,380.00","4,820.00","10,385.00","36,844.00","13,181.00","24,788.00","5,504.00","1,846.00",180
23,0,0,0,0,0,0,0,0,0,0,287,0,58,403,242,"3,078.00",322,"1,023.00","3,319.00","3,097.00","4,175.00",363,275,0
25,0,0,0,0,0,0,29,0,219,0,413,655,"1,749.00","1,238.00",907,"5,742.00","1,042.00",856,"6,197.00","1,389.00","4,059.00","1,408.00",74,83
29,"1,845.00",0,0,0,264,161,383,479,"2,941.00",634,973,"1,776.00","2,200.00","6,255.00","6,240.00","44,158.00","5,087.00","10,769.00","25,311.00","11,077.00","12,545.00","3,687.00",562,752
31,235,0,0,0,147,0,189,409,27,223,579,895,717,"1,411.00",930,"4,406.00",831,"1,589.00","8,754.00","2,332.00","2,179.00",430,204,0
