countyfips,No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree","Associate's degree, type not specified",Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctoral degree
0," 5,208 ", 65 , -   , 998 ," 1,640 "," 4,078 "," 1,607 "," 2,224 "," 16,962 ", 948 ," 8,555 "," 7,136 "," 7,346 "," 4,626 "," 6,173 "," 86,067 "," 10,950 "," 25,048 "," 76,358 "," 37,241 "," 63,418 "," 22,039 "," 6,688 "," 1,731 "
1," 8,573 ", -   , 185 , 203 , 294 , 464 , 532 , 819 ," 5,837 "," 1,024 "," 4,545 "," 8,399 "," 3,699 "," 4,524 "," 11,954 "," 92,408 "," 9,705 "," 25,099 "," 86,386 "," 38,226 "," 202,890 "," 104,838 "," 21,268 "," 19,029 "
7, 648 , -   , -   , -   , -   , 203 , -   , -   , 258 , 295 , 152 , 313 , 385 , 818 ," 1,511 "," 8,978 "," 1,278 "," 5,638 "," 16,823 "," 5,988 "," 12,985 "," 3,947 "," 1,653 ", 730 
13," 5,804 ", -   , -   , -   , 549 , 678 ," 1,125 "," 1,539 "," 3,696 "," 1,872 "," 4,297 "," 5,977 "," 3,341 "," 5,076 "," 6,552 "," 49,057 "," 9,237 "," 22,087 "," 60,413 "," 35,853 "," 110,457 "," 50,231 "," 12,138 "," 7,064 "
17, 118 , -   , -   , -   , -   , -   , -   , -   , -   , 70 , 187 , 267 , 422 ," 1,653 "," 1,046 "," 5,408 "," 1,292 "," 3,600 "," 9,923 "," 5,663 "," 15,399 "," 4,817 "," 1,755 ", 710 
19," 5,643 ", -   , 362 , 254 ," 1,313 "," 1,857 "," 1,027 "," 1,436 "," 8,963 "," 1,503 "," 7,707 "," 6,518 "," 5,272 "," 7,514 "," 8,862 "," 56,135 "," 7,315 "," 19,012 "," 64,762 "," 31,280 "," 49,495 "," 15,797 "," 4,488 "," 1,476 "
23, -   , -   , -   , -   , -   , -   , -   , 303 , 375 , -   , 522 , 395 , 270 ," 1,230 ", 513 ," 6,526 ", 565 ," 3,500 "," 6,144 "," 4,329 "," 11,290 "," 2,161 ", 895 , 286 
25, 789 , -   , -   , -   , 271 , -   , 267 , -   , 534 , 70 , 873 ," 1,924 "," 1,708 "," 1,147 "," 1,437 "," 11,479 "," 1,821 "," 1,758 "," 10,525 "," 2,811 "," 7,938 "," 2,274 ", 195 , 83 
29," 5,877 ", -   , -   , 301 , 664 ," 2,999 "," 1,564 "," 1,841 "," 10,115 "," 1,505 "," 3,391 "," 6,416 "," 3,924 "," 5,734 "," 9,871 "," 65,945 "," 8,198 "," 17,313 "," 40,049 "," 21,545 "," 31,387 "," 11,926 "," 2,371 "," 2,017 "
31, 714 , -   , -   , 114 , 567 , 418 , 203 , 409 ," 1,847 ", 427 , 269 ," 1,134 ", 611 ," 1,260 ", 972 ," 7,439 ", 661 ," 2,604 "," 13,586 "," 4,883 "," 5,333 "," 1,623 ", 706 , -   
37," 65,233 ", 740 , 827 ," 2,857 "," 7,660 "," 16,281 "," 7,297 "," 17,628 "," 101,298 "," 17,747 "," 43,036 "," 82,375 "," 42,687 "," 62,868 "," 92,063 "," 681,831 "," 62,032 "," 156,983 "," 604,630 "," 268,677 "," 927,866 "," 312,883 "," 91,037 "," 44,869 "
39, 872 , -   , -   , -   , 367 , -   , 705 ," 1,041 "," 1,982 ", -   ," 1,304 ", 496 ," 1,408 "," 1,311 ", 360 ," 8,806 "," 1,374 "," 2,196 "," 7,853 "," 3,053 "," 4,571 "," 2,282 ", 83 , -   
41, 560 , -   , -   , -   , -   , 205 , 243 , 327 , 647 , 221 , 532 , 567 , -   , 570 , 288 ," 7,508 ", 958 ," 3,556 "," 8,005 "," 4,773 "," 31,859 "," 12,472 "," 6,399 "," 1,870 "
47," 2,629 ", -   , 110 , -   , 164 , 387 , 473 , 965 ," 5,087 ", 562 ," 1,678 "," 1,973 "," 1,221 "," 2,372 "," 3,681 "," 18,307 "," 2,684 "," 4,823 "," 17,545 "," 6,852 "," 6,597 "," 2,737 ", 940 , 514 
55, 946 , -   , -   , -   , -   , 350 , -   , 451 ," 1,332 ", 110 , 176 , 674 , 198 , 394 ," 1,121 "," 6,861 "," 1,170 "," 2,773 "," 7,830 "," 4,625 "," 13,137 "," 4,521 "," 1,077 ", 448 
59," 17,305 ", 375 , 162 , 749 ," 3,102 "," 3,930 ", 877 ," 3,631 "," 27,400 "," 4,589 "," 11,145 "," 24,239 "," 9,617 "," 13,796 "," 30,845 "," 164,231 "," 23,518 "," 49,249 "," 165,545 "," 81,501 "," 330,984 "," 119,598 "," 35,000 "," 17,710 "
61, 400 , -   , -   , -   , -   , -   , 92 , -   , -   , 432 , 978 , 362 , 195 , 996 , 612 ," 21,098 "," 2,324 "," 9,000 "," 23,483 "," 13,369 "," 35,358 "," 10,389 "," 3,491 "," 1,338 "
